MOVISTAR,TECNOLOGÍA,NO,NO,ALTA,LOCAL,MEDIANO,SI,UNISEX,SI,MEDIOS,MUCHO,SI
NATUR HOUSE,ALIMENTACIÓN,SI,NO,BAJA,LOCAL,PEQUEÑO,SI,UNISEX,NO,MEDIOS,POCO,NO
NATURA,MODA Y COMPLEMENTOS,NO,NO,MEDIA,LOCAL,MEDIANO,NO,MUJER,NO,MEDIOS,MUCHO ,SI
NAZARI,MODA Y COMPLEMENTOS,NO,NO,MEDIA,LOCAL,PEQUEÑO,SI,UNISEX,NO,MEDIOS,POCO,NO
OKAÏDI,MODA Y COMPLEMENTOS,SI,SI,MEDIA,LOCAL,MEDIANO,SI,UNISEX,SI,MEDIOS,MUCHO ,SI
OPTICALIA,SALUD Y BELLEZA,NO,NO,MEDIA,LOCAL,PEQUEÑO,SI,UNISEX,NO,MEDIOS,MUCHO,NO
ORANGE,TECNOLOGÍA,NO,NO,ALTA,LOCAL,MEDIANO,SI,UNISEX,SI,MEDIOS,MUCHO,SI
OYSHO,MODA Y COMPLEMENTOS,NO,NO,MEDIA,LOCAL,MEDIANO,NO,MUJER,SI,MEDIOS,MUCHO,NO
PACO MARTINEZ,MODA Y COMPLEMENTOS,NO,SI,MEDIA,LOCAL,MEDIANO,NO,HOMBRE,SI,MEDIOS,POCO,NO
PAPIZZA,RESTAURANTES,NO,NO,ALTA,LOCAL,MEDIANO,NO,UNISEX,NO,BAJOS,POCO,NO
PECA'S,MODA Y COMPLEMENTOS,NO,NO,MEDIA,LOCAL,MEDIANO,SI,UNISEX,SI,MEDIOS,MUCHO,SI
PHONE HOUSE,TECNOLOGÍA,SI,NO,BAJA,LOCAL,MEDIANO,SI,UNISEX,NO,BAJOS,POCO,SI
PIZZERÍA MERIDIANO,RESTAURANTES,NO,NO,ALTA,LOCAL,MEDIANO,NO,UNISEX,NO,MEDIOS,POCO,NO
PLAYERO SUNGLASES,MODA Y COMPLEMENTOS,NO,NO,MEDIA,STAND,PEQUEÑO,NO,UNISEX,NO,BAJOS,POCO,NO
POLINESIA,MODA Y COMPLEMENTOS,NO,NO,MEDIA,LOCAL,MEDIANO,SI,MUJER,SI,MEDIOS,MUCHO ,NO
POUR HOMME,SALUD Y BELLEZA,NO,NO,MEDIA,LOCAL,MEDIANO,NO,UNISEX,NO,MEDIOS,POCO,NO
PRIMARK,MODA Y COMPLEMENTOS,SI,NO,MEDIA,LOCAL,GRANDE,SI,UNISEX,SI,BAJOS,POCO,SI
PULL&BEAR,MODA Y COMPLEMENTOS,NO,NO,MEDIA,LOCAL,GRANDE,SI,UNISEX,SI,MEDIOS,MUCHO ,SI
PUNTO ROMA,MODA Y COMPLEMENTOS,SI,SI,MEDIA,LOCAL,MEDIANO,SI,MUJER,NO,MEDIOS,MUCHO,SI
REGALIZ,ALIMENTACIÓN,NO,NO,ALTA,LOCAL,PEQUEÑO,NO,UNISEX,SI,MEDIOS,MUCHO,NO
RELOJES TIC TAC,MODA Y COMPLEMENTOS,NO,NO,MEDIA,STAND,PEQUEÑO,NO,UNISEX,NO,MEDIOS,MUCHO ,NO
RKS FOOTWEAR,MODA Y COMPLEMENTOS,SI,SI,MEDIA,LOCAL,MEDIANO,NO,UNISEX,SI,MEDIOS,POCO,NO
SMÖOY,RESTAURANTES,NO,NO,ALTA,LOCAL,PEQUEÑO,SI,UNISEX,SI,MEDIOS,POCO,NO
SPRINGFIELD,MODA Y COMPLEMENTOS,SI,SI,MEDIA,LOCAL,MEDIANO,SI,UNISEX,NO,MEDIOS,MUCHO,SI
STRADIVARIUS,MODA Y COMPLEMENTOS,NO,NO,MEDIA,LOCAL,MEDIANO,SI,MUJER,SI,MEDIOS,MUCHO,SI
SUBWAY,RESTAURANTES,NO,NO,ALTA,LOCAL,PEQUEÑO,SI,UNISEX,NO,MEDIOS,POCO,SI
TIME ROAD,MODA Y COMPLEMENTOS,SI,NO,MEDIA,LOCAL,PEQUEÑO,NO,UNISEX,NO,MEDIOS,MUCHO ,NO
TONY ROMA'S,RESTAURANTES,NO,NO,ALTA,LOCAL,MEDIANO,SI,UNISEX,SI,MEDIOS,MUCHO ,SI
TROEN,MODA Y COMPLEMENTOS,NO,SI,MEDIA,LOCAL,MEDIANO,NO,UNISEX,SI,MEDIOS,POCO,NO
TSUKI SUSHI BAR,RESTAURANTES,NO,NO,ALTA,LOCAL,MEDIANO,NO,UNISEX,NO,MEDIOS,POCO,NO
TUCHES,TECNOLOGÍA,NO,NO,MEDIA,STAND,PEQUEÑO,NO,UNISEX,NO,MEDIOS,POCO,NO
VISION,SALUD Y BELLEZA,NO,NO,MEDIA,LOCAL,MEDIANO,NO,UNISEX,NO,MEDIOS,POCO,NO
VODAFONE,TECNOLOGÍA,NO,NO,ALTA,LOCAL,MEDIANO,SI,UNISEX,SI,MEDIOS,MUCHO ,SI
WOK CHOPSTICKS,RESTAURANTES,NO,NO,ALTA,LOCAL,MEDIANO,SI,UNISEX,SI,MEDIOS,POCO,SI
WOMEN SECRET,MODA Y COMPLEMENTOS,NO,SI,MEDIA,LOCAL,MEDIANO,SI,MUJER,NO,MEDIOS,MUCHO ,SI
YELMO CINES,DEPORTES Y OCIO,NO,NO,MEDIA,LOCAL,GRANDE,SI,UNISEX,NO,MEDIOS,MUCHO ,SI
YVES ROCHER,SALUD Y BELLEZA,NO,NO,BAJA,LOCAL,MEDIANO,NO,UNISEX,SI,MEDIOS,POCO,NO
ZARA,MODA Y COMPLEMENTOS,SI,NO,MEDIA,LOCAL,GRANDE,SI,UNISEX,SI,MEDIOS,MUCHO ,SI
ZONA ZERO,MODA Y COMPLEMENTOS,NO,NO,MEDIA,LOCAL,MEDIANO,NO,UNISEX,NO,MEDIOS,MUCHO ,NO
